id,prediction
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,0
560,1
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,0
640,1
641,0
642,0
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,0
668,1
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,1
689,0
690,0
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,0
722,0
723,1
724,0
725,0
726,0
727,1
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,0
750,1
751,1
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,1
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,0
809,0
810,1
811,1
812,0
813,1
814,1
815,1
816,1
817,0
818,1
819,1
820,0
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,0
839,0
840,1
841,1
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,1
872,0
873,1
874,1
875,0
876,1
877,1
878,1
879,0
880,0
881,0
882,1
883,1
884,0
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,0
899,0
900,1
901,0
902,1
903,0
904,1
905,1
906,1
907,0
908,0
909,1
910,1
911,0
912,0
913,1
914,1
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,1
929,1
930,0
931,1
932,0
933,1
934,1
935,1
936,0
937,0
938,0
939,1
940,1
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,1
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,0
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,0
982,0
983,0
984,1
985,0
986,1
987,0
988,1
989,0
990,1
991,0
992,0
993,0
994,1
995,1
996,1
997,0
998,0
999,0
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
